Município	Cap I	Total
310170 Almenara	14	14
310190 Alpinópolis	4	4
310200 Alterosa	6	6
315350 Alto Jequitibá	2	2
310210 Alto Rio Doce	3	3
310220 Alvarenga	1	1
310230 Alvinópolis	10	10
310240 Alvorada de Minas	2	2
310260 Andradas	6	6
310280 Andrelândia	5	5
310285 Angelândia	2	2
310290 Antônio Carlos	2	2
310300 Antônio Dias	3	3
310330 Aracitaba	2	2
310340 Araçuaí	15	15
310350 Araguari	41	41
310370 Araponga	2	2
310375 Araporã	3	3
310400 Araxá	28	28
310410 Arceburgo	3	3
310420 Arcos	11	11
310430 Areado	6	6
310440 Argirita	1	1
310445 Aricanduva	1	1
310450 Arinos	2	2
310460 Astolfo Dutra	4	4
310470 Ataléia	3	3
310480 Augusto de Lima	1	1
310490 Baependi	4	4
310500 Baldim	4	4
310510 Bambuí	13	13
310520 Bandeira	1	1
310540 Barão de Cocais	2	2
310550 Barão de Monte Alto	1	1
310560 Barbacena	28	28
310590 Barroso	6	6
310600 Bela Vista de Minas	2	2
310620 Belo Horizonte	615	615
310630 Belo Oriente	4	4
310640 Belo Vale	4	4
310650 Berilo	12	12
310660 Bertópolis	6	6
310670 Betim	95	95
310690 Bicas	7	7
310710 Boa Esperança	3	3
310730 Bocaiúva	22	22
310740 Bom Despacho	12	12
310780 Bom Jesus do Galho	9	9
310790 Bom Repouso	2	2
310800 Bom Sucesso	2	2
310810 Bonfim	2	2
310820 Bonfinópolis de Minas	1	1
310825 Bonito de Minas	2	2
310830 Borda da Mata	4	4
310840 Botelhos	3	3
310850 Botumirim	1	1
310855 Brasilândia de Minas	3	3
310860 Brasília de Minas	10	10
310880 Braúnas	1	1
310890 Brazópolis	1	1
310900 Brumadinho	11	11
310910 Bueno Brandão	2	2
310920 Buenópolis	10	10
310930 Buritis	7	7
310940 Buritizeiro	6	6
310945 Cabeceira Grande	1	1
310950 Cabo Verde	1	1
310970 Cachoeira de Minas	3	3
310270 Cachoeira de Pajeú	6	6
310980 Cachoeira Dourada	1	1
310990 Caetanópolis	2	2
311000 Caeté	12	12
311010 Caiana	2	2
311030 Caldas	1	1
311040 Camacho	1	1
311050 Camanducaia	3	3
311060 Cambuí	2	2
311070 Cambuquira	1	1
311090 Campanha	5	5
311100 Campestre	6	6
311110 Campina Verde	5	5
311115 Campo Azul	2	2
311120 Campo Belo	12	12
311130 Campo do Meio	2	2
311140 Campo Florido	4	4
311150 Campos Altos	2	2
311160 Campos Gerais	6	6
311180 Canápolis	2	2
311200 Candeias	2	2
311220 Capela Nova	1	1
311230 Capelinha	18	18
311240 Capetinga	10	10
311250 Capim Branco	2	2
311260 Capinópolis	6	6
311265 Capitão Andrade	2	2
311270 Capitão Enéas	8	8
311280 Capitólio	4	4
311290 Caputira	2	2
311300 Caraí	5	5
311310 Caranaíba	2	2
311320 Carandaí	7	7
311330 Carangola	24	24
311340 Caratinga	46	46
311350 Carbonita	9	9
311370 Carlos Chagas	4	4
311390 Carmo da Cachoeira	4	4
311400 Carmo da Mata	3	3
311410 Carmo de Minas	2	2
311420 Carmo do Cajuru	6	6
311430 Carmo do Paranaíba	10	10
311440 Carmo do Rio Claro	8	8
311450 Carmópolis de Minas	4	4
311455 Carneirinho	1	1
311480 Carvalhos	1	1
311490 Casa Grande	1	1
311500 Cascalho Rico	1	1
311510 Cássia	21	21
311530 Cataguases	14	14
311535 Catas Altas	1	1
311545 Catuji	3	3
311547 Catuti	3	3
311550 Caxambu	7	7
311560 Cedro do Abaeté	1	1
311570 Central de Minas	1	1
311580 Centralina	2	2
311590 Chácara	2	2
311600 Chalé	1	1
311610 Chapada do Norte	13	13
311615 Chapada Gaúcha	2	2
311620 Chiador	2	2
311640 Claraval	3	3
311650 Claro dos Poções	8	8
311660 Cláudio	3	3
311670 Coimbra	1	1
311680 Coluna	1	1
311700 Comercinho	1	1
311710 Conceição da Aparecida	2	2
311730 Conceição das Alagoas	15	15
311720 Conceição das Pedras	2	2
311740 Conceição de Ipanema	2	2
311750 Conceição do Mato Dentro	5	5
311760 Conceição do Pará	1	1
311770 Conceição do Rio Verde	1	1
311780 Conceição dos Ouros	3	3
311783 Cônego Marinho	1	1
311787 Confins	2	2
311800 Congonhas	7	7
311810 Congonhas do Norte	2	2
311820 Conquista	7	7
311830 Conselheiro Lafaiete	26	26
311850 Consolação	1	1
311860 Contagem	123	123
311870 Coqueiral	1	1
311880 Coração de Jesus	12	12
311890 Cordisburgo	3	3
311910 Corinto	8	8
311920 Coroaci	2	2
311930 Coromandel	17	17
311940 Coronel Fabriciano	47	47
311950 Coronel Murta	1	1
311970 Coronel Xavier Chaves	1	1
311980 Córrego Danta	1	1
311990 Córrego do Bom Jesus	1	1
311995 Córrego Fundo	1	1
312000 Córrego Novo	2	2
312010 Couto de Magalhães de Minas	1	1
312015 Crisólita	3	3
312030 Cristália	2	2
312050 Cristina	2	2
312060 Crucilândia	2	2
312070 Cruzeiro da Fortaleza	1	1
312080 Cruzília	2	2
312083 Cuparaque	2	2
312087 Curral de Dentro	1	1
312090 Curvelo	38	38
312100 Datas	5	5
312120 Delfinópolis	2	2
312125 Delta	5	5
312130 Descoberto	1	1
312140 Desterro de Entre Rios	1	1
312160 Diamantina	14	14
312170 Diogo de Vasconcelos	1	1
312180 Dionísio	3	3
312200 Divino	8	8
312210 Divino das Laranjeiras	1	1
312230 Divinópolis	53	53
312235 Divisa Alegre	1	1
312240 Divisa Nova	2	2
312245 Divisópolis	1	1
312247 Dom Bosco	4	4
312270 Dom Silvério	4	4
312290 Dona Eusébia	3	3
312300 Dores de Campos	1	1
312310 Dores de Guanhães	1	1
312320 Dores do Indaiá	9	9
312340 Doresópolis	1	1
312350 Douradoquara	1	1
312352 Durandé	2	2
312360 Elói Mendes	10	10
312370 Engenheiro Caldas	5	5
312380 Engenheiro Navarro	2	2
312385 Entre Folhas	1	1
312390 Entre Rios de Minas	4	4
312400 Ervália	2	2
312410 Esmeraldas	10	10
312420 Espera Feliz	10	10
312430 Espinosa	11	11
312440 Espírito Santo do Dourado	2	2
312450 Estiva	1	1
312460 Estrela Dalva	2	2
312480 Estrela do Sul	3	3
312490 Eugenópolis	1	1
312500 Ewbank da Câmara	2	2
312510 Extrema	10	10
312520 Fama	1	1
312530 Faria Lemos	2	2
312540 Felício dos Santos	5	5
312570 Felixlândia	7	7
312590 Ferros	4	4
312595 Fervedouro	1	1
312600 Florestal	1	1
312610 Formiga	31	31
312620 Formoso	3	3
312640 Fortuna de Minas	2	2
312650 Francisco Badaró	14	14
312670 Francisco Sá	12	12
312680 Frei Gaspar	1	1
312690 Frei Inocêncio	4	4
312700 Fronteira	7	7
312705 Fronteira dos Vales	1	1
312707 Fruta de Leite	9	9
312710 Frutal	26	26
312720 Funilândia	1	1
312730 Galiléia	2	2
312733 Gameleiras	6	6
312735 Glaucilândia	2	2
312750 Gonzaga	1	1
312760 Gouveia	7	7
312770 Governador Valadares	67	67
312780 Grão Mogol	6	6
312790 Grupiara	1	1
312800 Guanhães	6	6
312810 Guapé	3	3
312820 Guaraciaba	2	2
312825 Guaraciama	3	3
312830 Guaranésia	15	15
312840 Guarani	1	1
312850 Guarará	1	1
312870 Guaxupé	16	16
312890 Guimarânia	4	4
312900 Guiricema	2	2
312910 Gurinhatã	2	2
312920 Heliodora	1	1
312930 Iapu	4	4
312940 Ibertioga	1	1
312950 Ibiá	7	7
312960 Ibiaí	3	3
312965 Ibiracatu	2	2
312970 Ibiraci	5	5
312980 Ibirité	35	35
312990 Ibitiúra de Minas	1	1
313005 Icaraí de Minas	10	10
313010 Igarapé	3	3
313020 Igaratinga	6	6
313030 Iguatama	7	7
313040 Ijaci	3	3
313050 Ilicínea	1	1
313055 Imbé de Minas	3	3
313060 Inconfidentes	1	1
313065 Indaiabira	1	1
313070 Indianópolis	1	1
313090 Inhapim	16	16
313100 Inhaúma	2	2
313110 Inimutaba	1	1
313115 Ipaba	5	5
313120 Ipanema	13	13
313130 Ipatinga	67	67
313140 Ipiaçu	1	1
313150 Ipuiúna	3	3
313170 Itabira	23	23
313180 Itabirinha	1	1
313190 Itabirito	9	9
313200 Itacambira	1	1
313210 Itacarambi	6	6
313220 Itaguara	1	1
313230 Itaipé	3	3
313240 Itajubá	30	30
313250 Itamarandiba	15	15
313260 Itamarati de Minas	1	1
313270 Itambacuri	11	11
313290 Itamogi	2	2
313300 Itamonte	2	2
313320 Itanhomi	1	1
313330 Itaobim	13	13
313340 Itapagipe	11	11
313350 Itapecerica	3	3
313360 Itapeva	3	3
313370 Itatiaiuçu	3	3
313375 Itaú de Minas	6	6
313380 Itaúna	23	23
313390 Itaverava	2	2
313400 Itinga	3	3
313410 Itueta	3	3
313420 Ituiutaba	51	51
313440 Iturama	17	17
313460 Jaboticatubas	2	2
313470 Jacinto	4	4
313480 Jacuí	2	2
313490 Jacutinga	6	6
313500 Jaguaraçu	1	1
313505 Jaíba	12	12
313507 Jampruca	1	1
313510 Janaúba	39	39
313520 Januária	19	19
313540 Jeceaba	1	1
313545 Jenipapo de Minas	14	14
313560 Jequitaí	1	1
313570 Jequitibá	5	5
313580 Jequitinhonha	9	9
313590 Jesuânia	2	2
313600 Joaíma	5	5
313610 Joanésia	2	2
313620 João Monlevade	29	29
313630 João Pinheiro	24	24
313640 Joaquim Felício	4	4
313650 Jordânia	3	3
313652 José Gonçalves de Minas	3	3
313657 Josenópolis	3	3
313665 Juatuba	1	1
313670 Juiz de Fora	211	211
313690 Juruaia	4	4
313700 Ladainha	3	3
313710 Lagamar	4	4
313720 Lagoa da Prata	12	12
313730 Lagoa dos Patos	2	2
313740 Lagoa Dourada	2	2
313750 Lagoa Formosa	7	7
313753 Lagoa Grande	2	2
313760 Lagoa Santa	8	8
313770 Lajinha	3	3
313780 Lambari	3	3
313800 Laranjal	2	2
313820 Lavras	26	26
313835 Leme do Prado	2	2
313840 Leopoldina	21	21
313850 Liberdade	1	1
313860 Lima Duarte	2	2
313862 Limeira do Oeste	1	1
313865 Lontra	5	5
313867 Luisburgo	2	2
313868 Luislândia	2	2
313880 Luz	10	10
313890 Machacalis	1	1
313900 Machado	7	7
313920 Malacacheta	9	9
313925 Mamonas	2	2
313930 Manga	5	5
313940 Manhuaçu	9	9
313950 Manhumirim	4	4
313960 Mantena	7	7
313980 Mar de Espanha	3	3
313970 Maravilhas	1	1
313990 Maria da Fé	3	3
314000 Mariana	6	6
314015 Mário Campos	2	2
314020 Maripá de Minas	1	1
314050 Martinho Campos	5	5
314053 Martins Soares	2	2
314070 Mateus Leme	6	6
314080 Matias Barbosa	4	4
314085 Matias Cardoso	3	3
314090 Matipó	4	4
314100 Mato Verde	2	2
314110 Matozinhos	10	10
314120 Matutina	3	3
314130 Medeiros	2	2
314140 Medina	4	4
314150 Mendes Pimentel	1	1
314160 Mercês	1	1
314170 Mesquita	1	1
314180 Minas Novas	18	18
314190 Minduri	1	1
314200 Mirabela	3	3
314210 Miradouro	4	4
314240 Moema	1	1
314250 Monjolos	1	1
314260 Monsenhor Paulo	2	2
314270 Montalvânia	5	5
314280 Monte Alegre de Minas	3	3
314290 Monte Azul	15	15
314300 Monte Belo	2	2
314310 Monte Carmelo	26	26
314315 Monte Formoso	1	1
314320 Monte Santo de Minas	11	11
314340 Monte Sião	4	4
314330 Montes Claros	140	140
314345 Montezuma	1	1
314350 Morada Nova de Minas	3	3
314380 Munhoz	1	1
314390 Muriaé	44	44
314400 Mutum	7	7
314410 Muzambinho	6	6
314430 Nanuque	10	10
314435 Naque	3	3
314437 Natalândia	1	1
314440 Natércia	2	2
314450 Nazareno	2	2
314460 Nepomuceno	1	1
314465 Ninheira	1	1
314467 Nova Belém	1	1
314470 Nova Era	6	6
314480 Nova Lima	20	20
314500 Nova Ponte	3	3
314505 Nova Porteirinha	1	1
314510 Nova Resende	2	2
314520 Nova Serrana	15	15
313660 Nova União	3	3
314530 Novo Cruzeiro	5	5
314535 Novo Oriente de Minas	3	3
314537 Novorizonte	2	2
314545 Olhos-d'Água	7	7
314560 Oliveira	12	12
314585 Oratórios	2	2
314587 Orizânia	3	3
314590 Ouro Branco	2	2
314600 Ouro Fino	5	5
314610 Ouro Preto	19	19
314620 Ouro Verde de Minas	1	1
314625 Padre Carvalho	5	5
314630 Padre Paraíso	6	6
314655 Pai Pedro	5	5
314640 Paineiras	1	1
314650 Pains	4	4
314660 Paiva	1	1
314670 Palma	1	1
314675 Palmópolis	2	2
314690 Papagaios	2	2
314710 Pará de Minas	21	21
314700 Paracatu	33	33
314720 Paraguaçu	6	6
314730 Paraisópolis	4	4
314740 Paraopeba	1	1
314760 Passa Quatro	2	2
314770 Passa Tempo	1	1
314750 Passabém	2	2
314790 Passos	45	45
314795 Patis	2	2
314800 Patos de Minas	51	51
314810 Patrocínio	30	30
314820 Patrocínio do Muriaé	3	3
314830 Paula Cândido	2	2
314840 Paulistas	1	1
314850 Pavão	3	3
314860 Peçanha	5	5
314870 Pedra Azul	17	17
314875 Pedra Bonita	3	3
314880 Pedra do Anta	1	1
314890 Pedra do Indaiá	2	2
314910 Pedralva	2	2
314915 Pedras de Maria da Cruz	4	4
314920 Pedrinópolis	1	1
314930 Pedro Leopoldo	12	12
314970 Perdigão	2	2
314980 Perdizes	5	5
314990 Perdões	6	6
315000 Pescador	1	1
315015 Piedade de Caratinga	9	9
315020 Piedade de Ponte Nova	1	1
315040 Piedade dos Gerais	2	2
315050 Pimenta	2	2
315057 Pintópolis	3	3
315060 Piracema	1	1
315080 Piranga	4	4
315090 Piranguçu	1	1
315100 Piranguinho	6	6
315120 Pirapora	21	21
315130 Piraúba	1	1
315140 Pitangui	5	5
315150 Piumhi	21	21
315160 Planura	8	8
315170 Poço Fundo	2	2
315180 Poços de Caldas	36	36
315190 Pocrane	2	2
315200 Pompéu	13	13
315210 Ponte Nova	22	22
315213 Ponto Chique	2	2
315217 Ponto dos Volantes	4	4
315220 Porteirinha	20	20
315230 Porto Firme	2	2
315240 Poté	4	4
315250 Pouso Alegre	34	34
315260 Pouso Alto	2	2
315270 Prados	3	3
315280 Prata	8	8
315290 Pratápolis	10	10
315300 Pratinha	1	1
315320 Presidente Juscelino	3	3
315330 Presidente Kubitschek	1	1
315340 Presidente Olegário	8	8
315360 Prudente de Morais	5	5
315370 Quartel Geral	1	1
315380 Queluzito	1	1
315390 Raposos	5	5
315400 Raul Soares	10	10
315410 Recreio	7	7
315415 Reduto	2	2
315420 Resende Costa	6	6
315430 Resplendor	4	4
315440 Ressaquinha	1	1
315445 Riachinho	3	3
315450 Riacho dos Machados	4	4
315460 Ribeirão das Neves	69	69
315480 Rio Acima	1	1
315490 Rio Casca	8	8
315510 Rio do Prado	3	3
315520 Rio Espera	1	1
315530 Rio Manso	2	2
315540 Rio Novo	3	3
315550 Rio Paranaíba	3	3
315560 Rio Pardo de Minas	6	6
315570 Rio Piracicaba	4	4
315580 Rio Pomba	3	3
315600 Rio Vermelho	1	1
315630 Rodeiro	4	4
315640 Romaria	2	2
315650 Rubelita	2	2
315660 Rubim	4	4
315670 Sabará	32	32
315680 Sabinópolis	4	4
315690 Sacramento	7	7
315700 Salinas	15	15
315710 Salto da Divisa	1	1
315720 Santa Bárbara	14	14
315725 Santa Bárbara do Leste	2	2
315727 Santa Bárbara do Monte Verde	1	1
315733 Santa Cruz de Minas	2	2
315740 Santa Cruz do Escalvado	2	2
315750 Santa Efigênia de Minas	1	1
315760 Santa Fé de Minas	1	1
315765 Santa Helena de Minas	1	1
315770 Santa Juliana	7	7
315780 Santa Luzia	38	38
315790 Santa Margarida	6	6
315800 Santa Maria de Itabira	4	4
315920 Santa Rita de Caldas	1	1
315930 Santa Rita de Jacutinga	2	2
315935 Santa Rita de Minas	7	7
315950 Santa Rita do Itueto	1	1
315960 Santa Rita do Sapucaí	9	9
315970 Santa Rosa da Serra	1	1
315980 Santa Vitória	9	9
315850 Santana de Pirapama	3	3
315870 Santana do Garambéu	1	1
315895 Santana do Paraíso	10	10
315910 Santana dos Montes	1	1
315990 Santo Antônio do Amparo	7	7
316010 Santo Antônio do Grama	1	1
316020 Santo Antônio do Itambé	4	4
316030 Santo Antônio do Jacinto	5	5
316040 Santo Antônio do Monte	5	5
316045 Santo Antônio do Retiro	1	1
316050 Santo Antônio do Rio Abaixo	1	1
316060 Santo Hipólito	1	1
316070 Santos Dumont	6	6
316080 São Bento Abade	1	1
316095 São Domingos das Dores	1	1
316100 São Domingos do Prata	7	7
316110 São Francisco	33	33
316120 São Francisco de Paula	1	1
316130 São Francisco de Sales	2	2
316140 São Francisco do Glória	3	3
316150 São Geraldo	1	1
316160 São Geraldo da Piedade	3	3
316165 São Geraldo do Baixio	1	1
316170 São Gonçalo do Abaeté	3	3
316180 São Gonçalo do Pará	1	1
316190 São Gonçalo do Rio Abaixo	3	3
312550 São Gonçalo do Rio Preto	2	2
316200 São Gonçalo do Sapucaí	5	5
316210 São Gotardo	8	8
316220 São João Batista do Glória	2	2
316225 São João da Lagoa	3	3
316230 São João da Mata	1	1
316240 São João da Ponte	18	18
316245 São João das Missões	3	3
316250 São João del Rei	23	23
316255 São João do Manhuaçu	1	1
316260 São João do Oriente	2	2
316265 São João do Pacuí	4	4
316270 São João do Paraíso	6	6
316280 São João Evangelista	2	2
316290 São João Nepomuceno	5	5
316292 São Joaquim de Bicas	5	5
316294 São José da Barra	2	2
316295 São José da Lapa	3	3
316320 São José do Alegre	1	1
316350 São José do Jacuri	2	2
316360 São José do Mantimento	4	4
316370 São Lourenço	10	10
316380 São Miguel do Anta	4	4
316410 São Pedro do Suaçuí	1	1
316400 São Pedro dos Ferros	1	1
316420 São Romão	4	4
316430 São Roque de Minas	6	6
316443 São Sebastião da Vargem Alegre	1	1
316447 São Sebastião do Anta	5	5
316450 São Sebastião do Maranhão	1	1
316460 São Sebastião do Oeste	1	1
316470 São Sebastião do Paraíso	27	27
316480 São Sebastião do Rio Preto	1	1
316490 São Sebastião do Rio Verde	2	2
316500 São Tiago	2	2
316510 São Tomás de Aquino	5	5
316540 Sapucaí-Mirim	2	2
316550 Sardoá	1	1
316553 Sarzedo	7	7
316570 Senador Firmino	3	3
316590 Senador Modestino Gonçalves	2	2
316610 Senhora do Porto	1	1
316620 Senhora dos Remédios	3	3
316630 Sericita	1	1
316640 Seritinga	1	1
316650 Serra Azul de Minas	1	1
316680 Serra do Salitre	6	6
316670 Serra dos Aimorés	4	4
316690 Serrania	1	1
316695 Serranópolis de Minas	2	2
316700 Serranos	1	1
316710 Serro	3	3
316720 Sete Lagoas	57	57
316555 Setubinha	1	1
316740 Silvianópolis	1	1
316750 Simão Pereira	1	1
316760 Simonésia	5	5
316770 Sobrália	1	1
316790 Tabuleiro	1	1
316800 Taiobeiras	6	6
316805 Taparuba	1	1
316830 Taquaraçu de Minas	2	2
316840 Tarumirim	6	6
316860 Teófilo Otoni	27	27
316870 Timóteo	46	46
316880 Tiradentes	2	2
316890 Tiros	3	3
316900 Tocantins	7	7
316905 Tocos do Moji	1	1
316920 Tombos	8	8
316930 Três Corações	17	17
316935 Três Marias	12	12
316940 Três Pontas	10	10
316950 Tumiritinga	1	1
316960 Tupaciguara	7	7
316970 Turmalina	9	9
316980 Turvolândia	1	1
316990 Ubá	23	23
317000 Ubaí	4	4
317005 Ubaporanga	5	5
317010 Uberaba	175	175
317020 Uberlândia	253	253
317040 Unaí	38	38
317050 Urucânia	6	6
317052 Urucuia	3	3
317057 Vargem Alegre	8	8
317060 Vargem Bonita	3	3
317065 Vargem Grande do Rio Pardo	1	1
317070 Varginha	30	30
317075 Varjão de Minas	2	2
317080 Várzea da Palma	8	8
317090 Varzelândia	3	3
317100 Vazante	8	8
317103 Verdelândia	1	1
317107 Veredinha	3	3
317110 Veríssimo	2	2
317115 Vermelho Novo	3	3
317120 Vespasiano	25	25
317130 Viçosa	15	15
317140 Vieiras	1	1
317160 Virgem da Lapa	6	6
317190 Virgolândia	1	1
317200 Visconde do Rio Branco	11	11
310000 Município ignorado - MG	5	5
320010 Afonso Cláudio	3	3
320016 Água Doce do Norte	2	2
320013 Águia Branca	1	1
320020 Alegre	4	4
320035 Alto Rio Novo	2	2
320040 Anchieta	4	4
320050 Apiacá	2	2
320060 Aracruz	13	13
320080 Baixo Guandu	7	7
320090 Barra de São Francisco	8	8
320100 Boa Esperança	1	1
320120 Cachoeiro de Itapemirim	35	35
320130 Cariacica	69	69
320140 Castelo	8	8
320150 Colatina	31	31
320160 Conceição da Barra	2	2
320170 Conceição do Castelo	1	1
320180 Divino de São Lourenço	1	1
320190 Domingos Martins	2	2
320200 Dores do Rio Preto	1	1
320210 Ecoporanga	4	4
320220 Fundão	1	1
320225 Governador Lindenberg	2	2
320230 Guaçuí	4	4
320240 Guarapari	31	31
320245 Ibatiba	5	5
320250 Ibiraçu	3	3
320255 Ibitirama	1	1
320260 Iconha	3	3
320265 Irupi	3	3
320270 Itaguaçu	1	1
320280 Itapemirim	3	3
320290 Itarana	1	1
320300 Iúna	6	6
320305 Jaguaré	7	7
320310 Jerônimo Monteiro	2	2
320313 João Neiva	2	2
320316 Laranja da Terra	1	1
320320 Linhares	25	25
320330 Mantenópolis	5	5
320332 Marataízes	9	9
320334 Marechal Floriano	2	2
320335 Marilândia	3	3
320340 Mimoso do Sul	9	9
320350 Montanha	5	5
320370 Muniz Freire	1	1
320380 Muqui	4	4
320390 Nova Venécia	9	9
320400 Pancas	6	6
320405 Pedro Canário	6	6
320410 Pinheiros	7	7
320420 Piúma	4	4
320435 Rio Bananal	2	2
320440 Rio Novo do Sul	5	5
320450 Santa Leopoldina	1	1
320455 Santa Maria de Jetibá	6	6
320460 Santa Teresa	2	2
320465 São Domingos do Norte	2	2
320470 São Gabriel da Palha	7	7
320480 São José do Calçado	5	5
320490 São Mateus	15	15
320495 São Roque do Canaã	3	3
320500 Serra	83	83
320501 Sooretama	7	7
320503 Vargem Alta	3	3
320506 Venda Nova do Imigrante	1	1
320510 Viana	13	13
320520 Vila Velha	97	97
320530 Vitória	58	58
330010 Angra dos Reis	33	33
330015 Aperibé	3	3
330020 Araruama	56	56
330022 Areal	1	1
330023 Armação dos Búzios	10	10
330025 Arraial do Cabo	9	9
330030 Barra do Piraí	26	26
330040 Barra Mansa	62	62
330045 Belford Roxo	195	195
330050 Bom Jardim	6	6
330060 Bom Jesus do Itabapoana	13	13
330070 Cabo Frio	56	56
330080 Cachoeiras de Macacu	37	37
330090 Cambuci	3	3
330100 Campos dos Goytacazes	206	206
330110 Cantagalo	6	6
330093 Carapebus	1	1
330115 Cardoso Moreira	4	4
330120 Carmo	4	4
330130 Casimiro de Abreu	14	14
330095 Comendador Levy Gasparian	1	1
330140 Conceição de Macabu	4	4
330150 Cordeiro	3	3
330160 Duas Barras	2	2
330170 Duque de Caxias	372	372
330180 Engenheiro Paulo de Frontin	4	4
330185 Guapimirim	18	18
330187 Iguaba Grande	10	10
330190 Itaboraí	100	100
330200 Itaguaí	57	57
330205 Italva	3	3
330210 Itaocara	9	9
330220 Itaperuna	42	42
330225 Itatiaia	10	10
330227 Japeri	28	28
330230 Laje do Muriaé	1	1
330240 Macaé	70	70
330245 Macuco	5	5
330250 Magé	108	108
330260 Mangaratiba	9	9
330270 Maricá	44	44
330280 Mendes	2	2
330285 Mesquita	66	66
330290 Miguel Pereira	3	3
330300 Miracema	16	16
330310 Natividade	3	3
330320 Nilópolis	85	85
330330 Niterói	251	251
330340 Nova Friburgo	66	66
330350 Nova Iguaçu	377	377
330360 Paracambi	14	14
330370 Paraíba do Sul	9	9
330380 Paraty	16	16
330385 Paty do Alferes	9	9
330390 Petrópolis	58	58
330395 Pinheiral	12	12
330400 Piraí	10	10
330410 Porciúncula	3	3
330411 Porto Real	6	6
330412 Quatis	6	6
330414 Queimados	47	47
330415 Quissamã	6	6
330420 Resende	38	38
330430 Rio Bonito	24	24
330440 Rio Claro	5	5
330450 Rio das Flores	3	3
330452 Rio das Ostras	38	38
330455 Rio de Janeiro	3711	3711
330460 Santa Maria Madalena	1	1
330470 Santo Antônio de Pádua	17	17
330480 São Fidélis	15	15
330475 São Francisco de Itabapoana	12	12
330490 São Gonçalo	380	380
330500 São João da Barra	18	18
330510 São João de Meriti	230	230
330513 São José de Ubá	2	2
330515 São José do Vale do Rio Preto	2	2
330520 São Pedro da Aldeia	20	20
330530 São Sebastião do Alto	2	2
330540 Sapucaia	4	4
330550 Saquarema	41	41
330555 Seropédica	28	28
330560 Silva Jardim	6	6
330570 Sumidouro	1	1
330575 Tanguá	21	21
330580 Teresópolis	64	64
330590 Trajano de Moraes	2	2
330600 Três Rios	32	32
330610 Valença	28	28
330615 Varre-Sai	2	2
330620 Vassouras	10	10
330630 Volta Redonda	121	121
330000 Município ignorado - RJ	67	67
350010 Adamantina	15	15
350030 Aguaí	12	12
350040 Águas da Prata	2	2
350050 Águas de Lindóia	6	6
350055 Águas de Santa Bárbara	3	3
350070 Agudos	6	6
350090 Altair	1	1
350100 Altinópolis	3	3
350110 Alto Alegre	1	1
350115 Alumínio	3	3
350120 Álvares Florence	2	2
350130 Álvares Machado	2	2
350140 Álvaro de Carvalho	1	1
350160 Americana	46	46
350170 Américo Brasiliense	6	6
350180 Américo de Campos	1	1
350190 Amparo	20	20
350210 Andradina	25	25
350220 Angatuba	4	4
350230 Anhembi	2	2
350240 Anhumas	1	1
350250 Aparecida	12	12
350260 Aparecida d'Oeste	2	2
350270 Apiaí	1	1
350275 Araçariguama	4	4
350280 Araçatuba	66	66
350290 Araçoiaba da Serra	8	8
350300 Aramina	1	1
350315 Arapeí	1	1
350320 Araraquara	68	68
350330 Araras	33	33
350340 Arealva	8	8
350370 Ariranha	1	1
350380 Artur Nogueira	8	8
350390 Arujá	18	18
350395 Aspásia	1	1
350400 Assis	35	35
350410 Atibaia	21	21
350420 Auriflama	8	8
350430 Avaí	1	1
350440 Avanhandava	1	1
350450 Avaré	23	23
350460 Bady Bassitt	5	5
350470 Balbinos	1	1
350480 Bálsamo	7	7
350490 Bananal	2	2
350500 Barão de Antonina	2	2
350510 Barbosa	3	3
350520 Bariri	11	11
350530 Barra Bonita	10	10
350540 Barra do Turvo	1	1
350550 Barretos	55	55
350560 Barrinha	9	9
350570 Barueri	91	91
350580 Bastos	3	3
350590 Batatais	18	18
350600 Bauru	126	126
350610 Bebedouro	44	44
350620 Bento de Abreu	1	1
350630 Bernardino de Campos	1	1
350635 Bertioga	9	9
350640 Bilac	3	3
350650 Birigui	26	26
350660 Biritiba-Mirim	4	4
350680 Bocaina	2	2
350690 Bofete	2	2
350700 Boituva	8	8
350710 Bom Jesus dos Perdões	4	4
350730 Boracéia	3	3
350740 Borborema	2	2
350750 Botucatu	53	53
350760 Bragança Paulista	23	23
350770 Braúna	3	3
350775 Brejo Alegre	1	1
350780 Brodowski	8	8
350790 Brotas	4	4
350800 Buri	2	2
350810 Buritama	4	4
350820 Buritizal	1	1
350840 Cabreúva	11	11
350850 Caçapava	34	34
350860 Cachoeira Paulista	9	9
350870 Caconde	2	2
350880 Cafelândia	3	3
350900 Caieiras	11	11
350910 Caiuá	1	1
350920 Cajamar	11	11
350925 Cajati	7	7
350930 Cajobi	1	1
350940 Cajuru	8	8
350945 Campina do Monte Alegre	1	1
350950 Campinas	278	278
350960 Campo Limpo Paulista	13	13
350970 Campos do Jordão	10	10
350980 Campos Novos Paulista	1	1
350990 Cananéia	7	7
350995 Canas	1	1
351000 Cândido Mota	6	6
351010 Cândido Rodrigues	2	2
351020 Capão Bonito	11	11
351030 Capela do Alto	7	7
351040 Capivari	16	16
351050 Caraguatatuba	38	38
351060 Carapicuíba	94	94
351070 Cardoso	5	5
351080 Casa Branca	7	7
351090 Cássia dos Coqueiros	2	2
351100 Castilho	1	1
351110 Catanduva	42	42
351120 Catiguá	2	2
